threads,load,energy,,,time,,,util
25,75,2703.45,Joules,power/energy-pkg/,20105015684,100.00,,1862
26,75,2690.12,Joules,power/energy-pkg/,20097229323,100.00,,1936
27,75,2725.41,Joules,power/energy-pkg/,20111232679,100.00,,2009
28,75,2732.68,Joules,power/energy-pkg/,20093899254,100.00,,2086
29,75,2733.61,Joules,power/energy-pkg/,20072886623,100.00,,2161
30,75,2745.21,Joules,power/energy-pkg/,20099363750,100.00,,2234
31,75,2766.17,Joules,power/energy-pkg/,20106190531,100.00,,2307
32,75,2768.46,Joules,power/energy-pkg/,20109210238,100.00,,2382
33,75,2785.39,Joules,power/energy-pkg/,20109719778,100.00,,2456
34,75,2797.42,Joules,power/energy-pkg/,20113860130,100.00,,2529
35,75,2802.79,Joules,power/energy-pkg/,20105095887,100.00,,2606
36,75,2819.83,Joules,power/energy-pkg/,20115418268,100.00,,2678
37,75,2828.73,Joules,power/energy-pkg/,20104048024,100.00,,2755
38,75,2835.80,Joules,power/energy-pkg/,20105774386,100.00,,2829
39,75,2845.70,Joules,power/energy-pkg/,20114837421,100.00,,2902
40,75,2860.32,Joules,power/energy-pkg/,20129171857,100.00,,2975
41,75,2867.43,Joules,power/energy-pkg/,20100337838,100.00,,3054
42,75,2874.68,Joules,power/energy-pkg/,20104372492,100.00,,3126
43,75,2884.83,Joules,power/energy-pkg/,20114123963,100.00,,3200
44,75,2892.31,Joules,power/energy-pkg/,20114027135,100.00,,3274
45,75,2907.63,Joules,power/energy-pkg/,20116331936,100.00,,3348
46,75,2916.00,Joules,power/energy-pkg/,20127228841,100.00,,3420
47,75,2918.68,Joules,power/energy-pkg/,20115154124,100.00,,3498
48,75,2932.20,Joules,power/energy-pkg/,20118890376,100.00,,3572
49,75,2936.44,Joules,power/energy-pkg/,20115735423,100.00,,3647
50,75,2951.22,Joules,power/energy-pkg/,20130000505,100.00,,3718
51,75,2955.48,Joules,power/energy-pkg/,20111718575,100.00,,3795
52,75,2965.60,Joules,power/energy-pkg/,20118311365,100.00,,3870
53,75,2975.08,Joules,power/energy-pkg/,20122398522,100.00,,3942
54,75,2987.83,Joules,power/energy-pkg/,20128711526,100.00,,4015
55,75,2990.06,Joules,power/energy-pkg/,20113334903,100.00,,4092
56,75,3003.45,Joules,power/energy-pkg/,20123707943,100.00,,4165
57,75,3011.02,Joules,power/energy-pkg/,20132185669,100.00,,4239
58,75,3020.88,Joules,power/energy-pkg/,20125049184,100.00,,4314
59,75,3023.04,Joules,power/energy-pkg/,20111224951,100.00,,4390
60,75,3032.98,Joules,power/energy-pkg/,20119404567,100.00,,4464
61,75,3042.00,Joules,power/energy-pkg/,20124263280,100.00,,4537
62,75,3054.52,Joules,power/energy-pkg/,20131704136,100.00,,4609
63,75,3067.44,Joules,power/energy-pkg/,20120952836,100.00,,4685
64,75,3075.23,Joules,power/energy-pkg/,20129604120,100.00,,4758
1,100,1934.56,Joules,power/energy-pkg/,20065167758,100.00,,99
2,100,1961.16,Joules,power/energy-pkg/,20022897959,100.00,,199
3,100,2088.62,Joules,power/energy-pkg/,20022498874,100.00,,299
4,100,2102.20,Joules,power/energy-pkg/,20058808754,100.00,,397
5,100,2209.87,Joules,power/energy-pkg/,20030702509,100.00,,497
6,100,2259.06,Joules,power/energy-pkg/,20052860209,100.00,,597
7,100,2272.09,Joules,power/energy-pkg/,20031624181,100.00,,696
8,100,2372.44,Joules,power/energy-pkg/,20069413882,100.00,,795
9,100,2399.83,Joules,power/energy-pkg/,20024129406,100.00,,895
10,100,2458.01,Joules,power/energy-pkg/,20044543858,100.00,,994
11,100,2517.08,Joules,power/energy-pkg/,20070095267,100.00,,1093
12,100,2553.18,Joules,power/energy-pkg/,20056842978,100.00,,1192
13,100,2619.84,Joules,power/energy-pkg/,20046964629,100.00,,1293
14,100,2653.20,Joules,power/energy-pkg/,20071287560,100.00,,1391
15,100,2692.85,Joules,power/energy-pkg/,20072951321,100.00,,1490
16,100,2709.16,Joules,power/energy-pkg/,20026355570,100.00,,1592
17,100,2746.24,Joules,power/energy-pkg/,20076501935,100.00,,1688
18,100,2739.54,Joules,power/energy-pkg/,20069711057,100.00,,1789
19,100,2714.83,Joules,power/energy-pkg/,20071957817,100.00,,1887
20,100,2752.30,Joules,power/energy-pkg/,20077315695,100.00,,1986
21,100,2754.74,Joules,power/energy-pkg/,20075957261,100.00,,2086
22,100,2751.18,Joules,power/energy-pkg/,20069831867,100.00,,2185
23,100,2749.61,Joules,power/energy-pkg/,20070736982,100.00,,2285
24,100,2767.81,Joules,power/energy-pkg/,20078419643,100.00,,2383
25,100,2785.00,Joules,power/energy-pkg/,20077013570,100.00,,2483
26,100,2781.49,Joules,power/energy-pkg/,20068520922,100.00,,2583
27,100,2815.99,Joules,power/energy-pkg/,20074610089,100.00,,2680
28,100,2827.45,Joules,power/energy-pkg/,20079003865,100.00,,2780
29,100,2844.10,Joules,power/energy-pkg/,20074100539,100.00,,2880
30,100,2867.96,Joules,power/energy-pkg/,20083078944,100.00,,2978
31,100,2909.78,Joules,power/energy-pkg/,20082110727,100.00,,3077
32,100,2940.38,Joules,power/energy-pkg/,20067807512,100.00,,3178
33,100,2948.24,Joules,power/energy-pkg/,20081306100,100.00,,3276
34,100,2957.60,Joules,power/energy-pkg/,20080353142,100.00,,3375
35,100,2967.64,Joules,power/energy-pkg/,20087108431,100.00,,3474
36,100,2971.62,Joules,power/energy-pkg/,20078224009,100.00,,3573
37,100,2982.98,Joules,power/energy-pkg/,20072965399,100.00,,3673
38,100,2991.52,Joules,power/energy-pkg/,20097622716,100.00,,3769
39,100,3002.96,Joules,power/energy-pkg/,20091209010,100.00,,3869
40,100,3010.04,Joules,power/energy-pkg/,20084634879,100.00,,3970
41,100,3022.01,Joules,power/energy-pkg/,20083519638,100.00,,4068
42,100,3023.31,Joules,power/energy-pkg/,20080786867,100.00,,4169
43,100,3035.34,Joules,power/energy-pkg/,20100395505,100.00,,4264
44,100,3035.25,Joules,power/energy-pkg/,20078052900,100.00,,4367
