name;hash;path;type;size
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_1_val_1.fq.gz;f;770820652
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_2_val_2.fq.gz;f;827183133
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_1.fastq.gz_trimming_report.txt;f;5234
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_2.fastq.gz_trimming_report.txt;f;5435
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_1_val_1_fastqc.html;f;611524
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_2_val_2_fastqc.html;f;612820
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_1_val_1_fastqc.zip;f;352939
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/SRR16578808_trimmed_2_val_2_fastqc.zip;f;356455
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);b5a9480f12f5f242e3266c2b69088be7;/workspace/work/b5/a9480f12f5f242e3266c2b69088be7/versions.yml;f;161
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_1_val_1.fq.gz;f;972371999
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_2_val_2.fq.gz;f;1038687689
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_1.fastq.gz_trimming_report.txt;f;5255
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_2.fastq.gz_trimming_report.txt;f;5469
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_1_val_1_fastqc.html;f;611440
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_2_val_2_fastqc.html;f;610392
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_1_val_1_fastqc.zip;f;352839
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/SRR16578807_trimmed_2_val_2_fastqc.zip;f;354117
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);f111483e3695d0d08083e72d0f7e06f7;/workspace/work/f1/11483e3695d0d08083e72d0f7e06f7/versions.yml;f;161
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578811);2cffc8881e849d1b8589a0a08ec14a14;/workspace/work/2c/ffc8881e849d1b8589a0a08ec14a14/SRR16578811_raw_1_fastqc.html;f;589285
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578811);2cffc8881e849d1b8589a0a08ec14a14;/workspace/work/2c/ffc8881e849d1b8589a0a08ec14a14/SRR16578811_raw_2_fastqc.html;f;590157
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578811);2cffc8881e849d1b8589a0a08ec14a14;/workspace/work/2c/ffc8881e849d1b8589a0a08ec14a14/SRR16578811_raw_1_fastqc.zip;f;360912
