task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R1);1a73b6fa693fc0c91117ab49fd535834;2;2717294146;2;641;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (3);a962eeccc0bc80daa3ea235e64b35829;3;2717294448;3;431154329;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R1);a4c5d4187ee452105626daa5ebb9825d;3;2717294448;3;343305482;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R1);ae0d47e810a5c94313608ff7e5a8ec15;2;2717294146;2;592;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R2);15528dc0f41d09451265e65d1ad868e3;2;679449927;2;619;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R2);64ef8211065c37b8b2b68f2edde65c75;3;3826738909;2;5328894;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R2);0a29e80157c423d0e5c6d7a437e8269f;2;679449927;2;587;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4);125d589b29abd4d1b7c8cbcdf30a34ee;3;679450229;3;88840823;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R2);39004ac5a40cba57e87ceeeac505d7f1;3;679450229;3;190827872;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (A549_R1);82346d85f05d6510d7cac77b0158e580;2;431154245;3;132265319;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1);8951a01a0428adc8412d241280aeb8c2;2;343305395;3;63869516;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R2);29cc93b52bea91acdc95308fbc6332bd;2;88840739;3;33136470;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (K562_R2);438c0011ecf8cf6d541ba11d080cbe31;2;190827785;3;40004407;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2);59c33181a8fd485b522a2c60d08ed03f;2;6001669733;2;2961269274;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R2);37887ad3a6672ac89d8e9d449f268a8b;1;2961269184;2;2773439761;6
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R2);50f93d072d3fc7ed74e113636a7aadeb;1;2773439675;2;2622103;4
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R2);c0ab74dd2150918f46d3066967097758;2;2776061691;2;632;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2);91d3393ad4cf6dc4a196e3ff929cd8af;3;2776061993;3;477129680;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (5);510f4e374cb00ceffcade85b179175ab;3;2776061993;3;276958686;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R2);da24a028e285d313e9d3e000dc8dc94d;3;5923350673;2;38356652;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R2);6f5436e6c7a3bef01db77700c0a295a1;2;2776061691;2;592;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (A549_R2);2ad6522a1bbbad1ad405590262b81b9c;2;276958602;3;91478075;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R2);6eb8708a6da88c1b3431cc20692f8246;2;477129593;3;85896429;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R3);ca0b67d88548067b2d0f4975810ac5aa;2;5933393311;2;2953687327;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3);b48e8438951758acc36908c40316db7e;1;2953687237;2;2768645116;6
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R3);7aaa9c3e278df26e5e5fdbd72ccf2e0e;1;2768645030;2;2735767;4
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R3);c5151742d50288d51a1ba17679db2dcf;3;5918669692;2;6528373;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R3);65da91401c77bff6473a1b6ad8030586;2;2771380710;2;593;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R3);982a700462cec86dc0b0190b032a49b4;2;2771380710;2;638;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (6);6514ee8363f244935ea8c085c4f37779;3;2771381012;3;350971286;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R3);611eb2c248ae556958fa6dbf229dcf8f;3;2771381012;3;523657962;0
NFCORE_NANOSEQ:NANOSEQ:BAMBU (1);b804a8382b4318dab124d2cc24f76a4f;8;15927027537;4;336014819;2
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R3);a879c62e5174d846ae057fedf6e29b27;2;350971202;3;116030438;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (K562_R3);c55ca38261a8b4a9eda6f6da516ac392;2;523657875;3;99607437;0
NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DESEQ2 (1);206ebf81e8049ff907503428d86fc8f1;1;20773796;2;28635313;0
NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1);db4ddfd315fcf5a456e5ccbb053f49b1;1;25160411;2;238861;0
NFCORE_NANOSEQ:NANOSEQ:CUSTOM_DUMPSOFTWAREVERSIONS (1);efd15d441350455ea00eb1b62ba4087c;1;942;3;3973;0
NFCORE_NANOSEQ:NANOSEQ:MULTIQC (1);cc80a15cf4fe14c6abd59d8127d7b88b;22;82066357;4;2732574;0
